query,rank,song,artist,text,score,relevance
Heartbreak,1,Break This Heartbreak,Kylie Minogue,"(Verse)  
In the night alone I stay awake  
Even stars so bright, they fade away  
But we can't escape what we're made  
But it can wait, this heartbreak  
  
(Chorus)  
This heartbreak, break break  
This heartbreak, break break  
This heartbreak, break break  
This heart (heart heart heart) break  
This heart (heart heart heart) break  
This heart (heart heart heart) break  
  
(Verse 2)  
Every time, it's said to?  
No signs to tell us what to do  
But we can't escape what we're made  
But it can wait, this heartbreak  
  
(Chorus)  
This heartbreak, break break  
This heartbreak, break break  
This heartbreak, break break  
This heart (heart heart heart) break  
This heart (heart heart heart) break  
This heart (heart heart heart) break  
  
(Bridge)  
But we can't escape what we're made  
But it can wait, this heartbreak  
  
(Chorus)  
This heartbreak, break break  
This heartbreak, break break  
This heartbreak, break break  
This heart (heart heart heart) break  
This heart (heart heart heart) break  
This heart (heart heart heart) break

",5.288300037384033,
Heartbreak,2,A Room At The Heartbreak Hotel,U2,"From where I stand  
I can see through you  
From where you're sitting, pretty one  
I know it got to you  
  
I see the stars in your eyes  
You want the truth, but you need the lies  
Like Judy Garland, like Valentino  
You give your life for rock n' roll  
Uh huh  
  
Stand, we're on a landslide of love  
You got everything you want  
But what you need you give away  
  
For primitive love  
And a ride on the mystery train  
A primitive love  
A room at the Heart...  
The Heartbreak Hotel  
A room at the Heartbreak  
Heartbreak Hotel  
A room at the Heartbreak  
Heartbreak Hotel  
  
You say it's love, it's not the money  
You let them suck your life out like honey  
Turning tricks, you're on the street  
Selling your kisses so bittersweet  
  
(Gospel voices)  
  
A primitive love  
A and a ride on the mystery train  
A primitive love  
A room at the Heart  
The Heartbreak Hotel  
  
A room at the Heartbreak, the Heartbreak,  
The Heartbreak Hotel, Hotel  
[Repeat until end]

",5.189499855041504,
Heartbreak,3,Little Miss Heartbreak,Richard Marx,"Well they told me not to come around you anymore  
Said I should find something to do  
And it filled me with an anger that I can't ignore  
But I'm sure it didn't come from you  
  
Everyone says I'm touched inside  
That you don't even know I'm alive  
  
Little Miss Heartbreak, can you hear me?  
I've got your picture pasted on the wall  
Little Miss Heartbreak, need you near me  
Without you, I'm nothing at all  
  
Is there something I can change in me to suit your taste?  
Something clever I can say?  
Left my number at your room again, just in case  
You want a quiet place to stay  
  
I'm not just another face in the crowd  
I'm here to tell you clear and loud  
  
Little Miss Heartbreak, can you hear me?  
I've got your picture pasted on the wall  
Little Miss Heartbreak, need you near me  
Without you, I'm nothing at all  
  
I can't stop these chills you give me  
Every time you come through the door  
I won't just stand by and watch you  
Like a schoolboy anymore... Yeah...  
  
Ooh, I wait by the mailbox, stare at the phone  
How can you leave me here alone?  
  
Little Miss Heartbreak, can you hear me?  
I've got your picture pasted on my wall  
Miss Heartbreak, need you near me  
Without you, I'm nothing... Yeah...  
  
Little Miss Heartbreak, I know you see me  
How can you go on treating me this way?  
Little Miss Heartbreak, believe me  
I'm gonna make you mine someday  
  
Yeah, Little Miss Heartbreak  
I'm gonna make you mine someday  
  
Yeah, Little Miss Heartbreak...  
  
Miss Heartbreak...

",5.166800022125244,
Heartbreak,4,Heartbreaker,Rolling Stones,"The police in New York City  
They chased a boy right through the park  
In a case of mistaken identity  
They put a bullet through his heart  
  
Heartbreakers with your forty four  
I wanna tear your world apart  
You heart breaker with your forty four  
I wanna tear your world a part  
  
A ten year old girl on a street corner  
Sticking needles in her arm  
She died in the dirt of an alleyway  
Her mother said she had no chance, no chance  
Heartbreaker, heartbreaker  
She stuck the pins right in her heart  
Heartbreaker, a pain maker  
Stole the love right out of you heart  
  
Oh yeah  
Doo, doo doo doo doo  
Oh yeah  
Doo doo doo, doo doo  
I wanna tear that word apart  
  
Oh yeah  
Doo, doo doo doo doo  
Oh yeah  
Doo doo doo doo doo  
I wanna tear that word apart  
  
Heartbreaker, heart breaker  
You stole the love right out of my heart  
Heartbreaker, heartbreaker  
I wanna tear your world apart  
  
Heartbreaker, heartbreaker  
Stole the love right out, stole the love right out  
  
Doo, doo doo doo doo doo  
Ah yeah, you shot the kid, he had no chance  
Doo doo, doo doo do  
Ah yeah, Ah yeah, you stuck pins right in her heart  
Doo doo, doo doo do  
You heartbreaker, I wanna tear your world apart  
Doo doo, doo doo do........

",5.156300067901611,
Heartbreak,5,Bringin' On The Heartbreak,Def Leppard,"Gypsy, sittin' lookin' pretty  
The broken rose with laughin' eyes  
You're a mystery, always runnin' wild  
Like a child without a home  
You're always searching, searching for a feeling  
That it's easy come and easy go  
  
Oh I'm sorry but it's true  
You're bringin' on the heartbreak  
Takin' all the best of me  
Oh can't you see?  
You got the best of me  
Whoa can't you see?  
  
You're bringin' on the heartbreak  
Bringin' on the heartache  
You're bringin' on the heartbreak  
Bringin' on the heartache  
Can't you see?  
  
Oh whoa  
You're such a secret, misty eyed and shady  
Lady how you hold the key  
Oh you're like a candle, your flame slowly fadin'  
Burnin' out and burnin' me  
  
Can't you see?  
Just try and say to you  
  
You're bringin' on the heartache  
Takin' all the best of me  
Oh can't you see?  
You got the best of me  
Whoah can't you see?  
  
You're bringin' on the heartbreak  
Bringin' on the heartache  
You're bringin' on the heartbreak  
Bringin' on the heartache  
  
Can't you see?  
Can't you see?  
No no no  
You got the best of me  
Oh can't you see?  
You got the best of me  
Whoah can't you see?  
  
You're bringin' on the heartbreak  
Bringin' on the heartache  
You're bringin' on the heartbreak  
Bringin' on the heartache  
You're bringin' on the heartbreak  
Bringin' on the heartache  
You're bringin' on the heartbreak

",5.143599987030029,
Heartbreak,6,Front Page,Cliff Richard,"You can't sleep and you just can't eat  
Keep on moving around looking for her shadow  
You've been through it once, well, we all should know  
When you lie awake, it takes so long for the night to go  
You gotta heartbreak  
It's not the front page  
You gotta heartbreak  
But it's not the page, page news  
Six lonely days you wonder when you'll wake  
From these dreams of the past, well, there's no time like the present  
You think right now, there can be no one else  
You say first love is best, well, we all must learn to grow  
You gotta heartbreak  
It's not the front page  
You gotta heartbreak  
But it's not the page, page news, no, no  
Don't rush love, you must take your time  
Try to play it cool, got to read between the lines  
If you don't she will fly away  
To some far off place where she won't receive your telephone calls  
You gotta heartbreak  
It's not the front page  
You gotta heartbreak  
But it's not the page, page news  
It's just a heartbreak  
It's not the front page  
You gotta heartbreak  
But it's not the page, page news  

",5.107600212097168,
Heartbreak,7,Heartbreak Express,Alabama,"Well, I was feeling kinda lonely, just a little bit blue  
All I wanted was someone to talk to  
I wasn't looking for love or a do romance  
I had no intention of taking that big chance  
Until she walked in, in that low-cut dress  
She was a first class ticket on Heartbreak Express  
  
Well, punch my ticket, I'm headin' on down the line  
First stop misery, here I go one more time  
Destination dead ahead, ain't that loneliness  
I got a first class ticket on Heartbreak Express  
  
Well, I ought a know better, you think I'm learned  
But if you're gonna chase fire, you're gonna get burned!  
Yeah, I was still gettin' over the hurtin' from the one before  
She walked in right through that ballroom door  
I ain't never been one to settle for second best  
I want a first class ticket on Heartbreak Express  
  
Well, punch my ticket, I'm headin' on down the line  
First stop misery, here I go one more time  
Destination dead ahead ain't that loneliness  
I got a first class ticket on Heartbreak Express  
  
Punch my ticket, I'm headin' on down the line  
First stop misery, here I go one more time  
Destination dead ahead, ain't that loneliness  
I got a first class ticket on Heartbreak Express  
  
I got a first class ticket on Heartbreak Express  
I got a first class ticket, Heartbreak Express  
I got a first class ticket on a Heartbreak Express  
I got a first class ticket, Heartbreak Express

",5.107500076293945,
Heartbreak,8,Heartbreak Eyes,Bon Jovi,"So now you want to change sides  
You say the lesson's been learned  
I can tell by your voice, baby just got burned  
I can see in your eyes, and read your lips so well  
You're a master at disguise but it ain't hard to tell  
  
Anyone that's been through it before knows that look  
I can read through your mind like a story book  
And there's no happy endings to this life  
  
Cause I can see the heartbreak in your eyes  
I can feel the pain that you cry deep inside of those heartbreak eyes  
You hear the cries through the night  
Calling over and over again  
  
The voices came and took advantage, now you don't want to play  
When the word got around he gave your secrets away  
Now it's too late to cry you know the damage is done  
Dry your tears say goodbye and know he wasn't the one  
  
All your life you been in and out of love  
Now you've folded your cards when push came to shove  
You're just another number, just a victim of love's lies  
  
I can see the heartbreak in your eyes  
I can feel the pain that you cry deep inside of your heartbreak eyes  
You hear the cries through the night  
Calling over and over again  
  
Over and over again  
You hear the cries through the night  
Over and over...  
  
I can see the heartbreak in your eyes  
I can feel the pain that you cry deep inside of your heartbreak eyes  
You hear the cries through the night, calling over and over  
Those heartbreak eyes  
I can feel the pain you hide deep inside  
Deep inside of those heartbreak eyes  
You hear the cries through the night, calling over and over  
Those heartbreak eyes  
I can feel the hurt inside your heartbreak eyes  
I can hear the cries at night, over and over again

",5.107499122619629,
Heartbreak,9,Heartbreaker,Grand Funk Railroad,"Once I had a little girl, sometimes I think about her,  
But, buddy, you know she's not really there.  
When memories do call, I just, I just can't live without her  
But tryin' all the time is so hard to bear.  
  
[Chorus]  
Heartbreaker, can't take her,  
Heartbreaker, bringing me down.  
Heartbreaker, can't take her,  
Heartbreaker, bringing me down.  
  
I don't cry no more, I live while I'm flying,  
But I'll think back, and you can hear me say:  
  
[Chorus x 3]  
  
Heartbreaker, can't take her,  
Heartbreaker, bringing me down.

",5.054500102996826,
Heartbreak,10,Sea Of Heartbreak,Leo Sayer,"Oh the lights in the harbour-our-our  
They don't shine for me-ee-ee-ee  
I'm like a lost shi-ip  
Adrift on the sea-ea-ea  
  
Sea of heartbreak, lost love and loneliness  
Memories of your caress, so divi-i-ine  
How I wish you were mi-ine again my dear-ear-ear  
I'm on the sea of tears, sea of heartbreak  
Ooh-ooh-ooh-ooh-ooh-ooh  
  
Oh-oh how did I lose you-ou-ou  
Oh where, where did I fai-ai-ail  
Why-why-why-why did you leave me  
Always to sai-ai-ai-ail  
  
The sea of heartbreak, lost love and loneliness  
Memories of your caress, so divi-i-ine  
How I wish you were mi-ine again my dear-ear-ear  
I'm on the sea of tears, sea of heartbreak  
Ooh-ooh-ooh-ooh-ooh-ooh  
  
Oh what I'd gi-I've to sail back to shore-ore  
Back to your are-are-arms once more-ore-ore  
Come to my rescue-ue-ue  
Oh co-o-ome here to me-ee-ee  
Oh-oh take me, take me and keep me-ee-ee  
Away-ay-ay from the sea-ea-ea  
  
Sea of heartbreaks, lost love and loneliness  
Memories of your caress, so divi-i-ine  
How I wish you were mi-ine again my dear-ear-ear  
I'm on the sea of tears  
Sea of heartbreak, lost love and loneliness  
Memories of your caress, so divi-i-ine  
How I wish you were mi-ine again my dear-ear-ear  
I'm on the sea of tears, sea of heartbreak  
Ooh-ooh-ooh-ooh  
  
Ooh...ooh-ooh-ooh  
On the sea of tears, sea of heartbreak  
Ooh-ooh-ooh  
  
Ooh-ooh-ooh  
On the sea of tears, sea of heartbreak [fade]

",5.0543999671936035,
