query,rank,song,artist,text,score,relevance
Heartbreak,1,Heartbreaker,Grand Funk Railroad,"Once I had a little girl, sometimes I think about her,  
But, buddy, you know she's not really there.  
When memories do call, I just, I just can't live without her  
But tryin' all the time is so hard to bear.  
  
[Chorus]  
Heartbreaker, can't take her,  
Heartbreaker, bringing me down.  
Heartbreaker, can't take her,  
Heartbreaker, bringing me down.  
  
I don't cry no more, I live while I'm flying,  
But I'll think back, and you can hear me say:  
  
[Chorus x 3]  
  
Heartbreaker, can't take her,  
Heartbreaker, bringing me down.

",0.5394257903,2
Heartbreak,2,Facebook,Passenger,"Looking at pictures,  
On Facebook.  
Of your ex-girlfriend,  
At three in the morning.  
  
Never helped anyone,  
Never helped anyone,  
Never helped.  
  
Getting so drunk,  
You fall over.  
Singing up at lamp-posts,  
At two in the morning.  
  
Never helped anyone,  
Never helped anyone,  
Never helped.  
  
'Cause it's so pure,  
You can hardly taste it.  
Oh, it's so pure,  
You can hardly taste it.  
  
Going to parties.  
With friends  
Who are friends of friends.  
At one in the morning.  
  
Never helped anyone,  
Never helped anyone,  
Never helped.  
  
Eleven o'clock in the pub,  
Drinking everything in sight.  
But still not getting drunk.  
  
No, never helped anyone,  
Never helped anyone,  
Never helped.  
  
Oh, it's so pure,  
You can hardly taste it.  
Oh, it's so pure,  
You can hardly taste it.  
  
So just hold on,  
When the party's over.  
And all your friends  
Are going home with their girlfriends to their dog or beds.  
  
Yeah, just hold on,  
When the party's over.  
And you can't help the world's spinning.  
'Cause heartbreak goes  
Straight to your head.  
  
Looking at pictures,  
On Facebook.  
Of your ex-girlfriend,  
At three in the morning.  
  
Never helped anyone,  
Never helped anyone,  
Never helped me.

",0.4912569523,2
Heartbreak,3,Heartbreaking World,Squeeze,"The saddest thing I've ever seen  
Was a starving face on my TV screen  
The desperate face that I saw  
Had my disbelief hanging from my jaw  
Our harvest could be shared around  
Instead it's buried in the ground  
The saddest thing I've ever seen  
Was a football fan dying for his team  
The toughest thing I have ever known  
Was a soldier boy who never made it home  
It's fiction live before our eyes  
It leaves me cold and my heart cries  
  
The greatest thing I've ever seen  
Was a newborn child looking up at me  
The greatest sound I've ever heard  
Was a baby's cry in this wicked world  
The innocence of that cry  
Leaves me cold and my heart cries  
  
It's a heartbreaking world if you want it to be  
It's a heartbreaking world if you want it to be  
It's a heartbreaking world if you want it to be  
And you're the one that breaks it for me

",0.45962286,1
Heartbreak,4,Heartbreaker,Free,"Well my maker  
Must've been a hard heartbreaker  
I said my maker  
Must've been a hard heartbreaker  
I'll tell you why  
  
I'm breaking my own heart  
Tryin' to love a faker  
  
Like a blind man  
My little house is on fire  
Just like a blind man  
My little house is on fire  
  
I'm burning my own eyes out  
Tryin' to reach the door  
  
Well the sun is shining  
But it sure don't seem to reach my heart  
Well the sun is shining  
But it sure don't seem to reach my heart  
  
I'm wasting my whole life  
Tryin' to make a new start  
  
Make a new start  
Make a new start  
Make a new start  
Make a new start.

",0.4562647939,1
Heartbreak,5,YOU BROKE YOUR OWN HEART,Hank Williams,"YOU BROKE YOUR OWN HEART  
WRITERS HANK WILLIAMS, HANK WILLIAMS JR.  
You're letter says you're unhappy we're many miles apart  
It's a little late to ask for pity,  
Remember you broke your own heart  
You walked out on the heart that loved you, has no pity from the start  
You cheated and lied and now you're gonna cry,  
Remember you broke your own heart  
A heart can stand so much sorrow and then it bends and breaks  
And a love that is honest and true can turn to bitter hate  
Now that you're gone and lonely, and your dreams have fallen apart  
Think of the one that once loved you,  
Remember you broke your own heart  
  

",0.4552559257,2
Heartbreak,6,Breakable,Ingrid Michaelson,"Have you ever thought about what protects our hearts?  
Just a cage of rib bones and other various parts.  
So it's fairly simple to cut right through the mess.  
And to stop the muscle that makes us confess.  
  
We are so fragile,  
And our cracking bones make noise,  
And we are just,  
Breakable, breakable, breakable, girls and boys.  
  
You fasten my seatbelt because it is the law.  
In your two ton death trap I finally saw.  
A piece of love in your face that bathed me in regret.  
Then you drove me to places I'll never forget.  
  
And we are so fragile,  
And our cracking bones make noise,  
And we are just,  
Breakable, breakable, breakable girls and boys.  
  
And we are so fragile,  
And our our cracking bones make noise,  
And we are just,  
Breakable, breakable, breakable girls-  
Breakable, breakable, breakable girls-  
Breakable, breakable, breakable girls and boys.

",0.4531127214,2
Heartbreak,7,Yesterday's Heartbreak,Eddie Cochran,"Yesterday's heartbreak, brings tomorrow's tears  
A laugh of remembering, to live through the years  
Yesterday's heartbreak, a love from the past  
I lost you forever, your love is my last  
Well alone, alone, my heart left to wonder  
Alone, alone, my lonely heart does ponder  
Oh-oh-oh-yes, yesterday's heartbreak, your love to be lost  
I gave my love freely, now I pay the cost  
Yesterday's heartbreak, a love from the past  
Well I lost you forever, your love is my last

",0.4491199851,2
Heartbreak,8,It's So Hard,ZZ Top,"When the light comes and yu're feelin' down  
'Cause your baby's out there somewhere runnin' round.  
Don't start feeling blue and feeling lonely too,  
It's hard I know when that love ain't true.  
  
You just can't explain, but you know it's there,  
That empty feeling seems so unfair.  
What can you do when it's gone, it's gone,  
'Cause those lovin' feelings seem to hurt so long.  
  
So if you feel like cryin', go ahead and cry,  
A heartbreak will cool as time goes by.  
And it's so hard baby, it's so hard to take.  
It's so hard baby, it's so hard to take.  
  
Well you work so long every day and night,  
Tryin' every thing that seems so right.  
But when a love falls a heart must break,  
And it's so hard baby, it's so hard to take.

",0.4430004954,2
Heartbreak,9,Old Battery,Guided By Voices,"Old Friend in your room  
With your ticker  
Feeling thicker  
You get sicker, but  
DieHard  
DieHard  
DieHard  
DieHard  
Old Friend in this World  
With your crucifix  
You think it's fixed  
And yet you  
DieHard  
DieHard  
DieHard  
DieHard  
To heal you we have love  
To heal you we have love  
To heal you we have love  
I don't wanna  
I don't wanna  
I don't wanna  
I don't wanna  
To heal you we have love  
To heal you we have love  
To heal you we have love  
I don't wanna  
I don't wanna  
I don't wanna  
I don't wanna  

",0.4396506548,0
Heartbreak,10,Missing Her Now,Beautiful South,"(M. Greaves)  
  
I was always told that time could heal  
And change the way the broken-hearted feel  
Now I know it's not true  
For I'm sad and blue  
And I'm sure missing her now  
  
When she said goodbye  
I was not sad enough to cry  
The misery I'd known  
Would end somehow  
Oh, but I'm sure missing her now  
  
I always thought the single life would soothe me  
A different girl depending on my mood  
But the dance floor is no place for a lonesome heart  
And I'd wind up nailed to a barstool

",0.4371019602,2
